Year,March,April,May,June,July,August,September,Yearly Mean,Minimum,Maximum,Standard Deviation
2000,12.827,12.781,12.217,11.168,9.518,7.251,6.361,10.303,6.361,12.827,2.658
2001,13.032,12.991,12.403,11.224,9.281,7.526,6.778,10.462,6.778,13.032,2.612
2002,12.957,12.663,12.112,11.088,9.358,6.565,5.981,10.103,5.981,12.957,2.88
2003,12.96,12.805,12.157,11.286,9.386,6.931,6.184,10.244,6.184,12.96,2.795
2004,12.914,12.615,11.778,10.991,9.297,6.834,6.082,10.073,6.082,12.914,2.748
2005,12.707,12.653,12.119,10.884,8.987,6.324,5.593,9.895,5.593,12.707,2.987
2006,12.595,12.491,11.752,10.6,8.688,6.557,5.949,9.805,5.949,12.595,2.771
2007,12.408,12.341,11.878,10.906,8.182,5.402,4.324,9.349,4.324,12.408,3.399
2008,12.666,12.605,12.135,10.885,8.826,6.066,4.737,9.703,4.737,12.666,3.245
2009,12.765,12.819,12.326,10.819,8.52,6.276,5.388,9.845,5.388,12.819,3.131
2010,12.862,12.758,12.051,10.344,8.376,6.032,4.932,9.622,4.932,12.862,3.245
2011,12.62,12.562,12.003,10.541,7.922,5.564,4.632,9.406,4.632,12.62,3.369
2012,12.584,12.569,12.001,10.359,7.906,4.71,3.629,9.109,3.629,12.584,3.759
2013,12.761,12.72,12.003,10.928,8.408,6.1,5.353,9.753,5.353,12.761,3.131
2014,12.504,12.561,11.875,10.721,8.223,6.224,5.293,9.629,5.293,12.561,3.041
2015,12.467,12.273,11.745,10.468,8.552,5.654,4.684,9.406,4.684,12.467,3.196
2016,12.188,12.175,11.116,9.972,8.026,5.593,4.738,9.115,4.738,12.188,3.063
2017,12.363,12.326,11.756,10.499,8.252,5.507,4.895,9.371,4.895,12.363,3.185
2018,12.28,12.141,11.48,10.287,8.453,5.621,4.835,9.299,4.835,12.28,3.079
2019,12.329,12.061,11.46,10.258,7.715,5.019,4.452,9.042,4.452,12.329,3.323
2020,12.566,12.329,11.758,10.224,7.46,5.205,4.101,9.092,4.101,12.566,3.503
2021,12.631,12.388,11.926,10.488,7.719,5.768,5.032,9.422,5.032,12.631,3.215
2022,12.681,12.675,12.124,10.6,8.507,6.111,4.955,9.665,4.955,12.681,3.195
2023,12.583,12.496,12.012,10.724,8.614,5.601,4.412,9.492,4.412,12.583,3.37
2024,12.74,12.797,12.11,10.724,8.269,5.289,4.384,9.473,4.384,12.797,3.538
2025,12.424,12.42,11.781,10.1,8.036,5.468,4.819,9.293,4.819,12.424,3.231
2026,12.379,12.186,11.48,10.173,,,,11.554,10.173,12.379,0.999
